"id","code","name","type","user_type/id","parent_id/id","reconcile","chart_template_id/id"
l10n_id_account_template_construction_general_610204,610204,By. Adm & Umum: Perjalanan Dinas: Penginapan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610200,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610205,610205,By. Adm & Umum: Perjalanan Dinas: Tiket Perjalanan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610200,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610300,610300,By. Adm & Umum: Jasa Profesi,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610301,610301,By. Adm & Umum: Jasa Profesi Iklan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610300,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610302,610302,By. Adm & Umum: Jasa Profesi Notaris,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610300,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610302,610302,By. Adm & Umum: Jasa Profesi Lainnya,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610300,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610400,610400,By. Adm & Umum: Sewa,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610401,610401,By. Adm & Umum: Sewa Bangunan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610400,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610402,610402,By. Adm & Umum: Sewa Kendaraan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610400,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610403,610403,By. Adm & Umum: Sewa Peralatan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610400,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610500,610500,By. Adm & Umum: Asuransi,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610501,610501,By. Adm & Umum: Asuransi Bangunan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610500,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610502,610502,By. Adm & Umum: Asuransi Kendaraan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610500,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610600,610600,By. Adm & Umum: Penyusutan,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610601,610601,By. Adm & Umum: Penyusutan Bangunan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610600,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610602,610602,By. Adm & Umum: Penyusutan Kendaraan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610600,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610603,610603,By. Adm & Umum: Penyusutan Peralatan Kantor,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610600,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610605,610605,By. Adm & Umum: Amortisasi,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610600,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610700,610700,By. Adm & Umum: Pemeliharaan & Perbaikan,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610701,610701,By. Adm & Umum: Pemel & Perbaikan Bangunan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610700,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610702,610702,By. Adm & Umum: Pemel & Perbaikan Kendaraan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610700,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610703,610703,By. Adm & Umum: Pemel & Perbaikan Peralatan Kantor,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610700,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610800,610800,By. Adm & Umum: Lainnya,view,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610801,610801,By. Adm & Umum: Lainnya: Penghapusan Piutang,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610800,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610802,610802,By. Adm & Umum: Lainnya: Sumbangan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610800,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610803,610803,By. Adm & Umum: Lainnya: Pungutan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610800,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_610900,610900,By. Adm & Umum: Pemakaian Perlengkapan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611000,611000,"By. Adm & Umum: Pos, Surat, Paket",other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611100,611100,"By. Adm & Umum: Cetakan, Majalah dan Surat Kabar",other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611200,611200,By. Adm & Umum: Perjamuan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611300,611300,By. Adm & Umum: Ijin dan Keanggotaan,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611400,611400,By. Adm & Umum: Telepon,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611500,611500,By. Adm & Umum: Listrik,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
l10n_id_account_template_construction_general_611600,611600,By. Adm & Umum: Internet dan Komputer,other,l10n_id.user_type_expense,l10n_id_account_template_construction_general_610000,FALSE,l10n_id.account_chart_template_construction_general
